deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.00646356, +1mili value : 0
deriv1 : 0, val : 0.00646356, +1mili value : 0
deriv1 : 0, val : 0.00646356, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : -0.025847, +1mili value : 1.13621e-005
deriv1 : 0.00125317, val : -0.0252571, +1mili value : 0.00125325
deriv1 : 0.000873608, val : -0.025116, +1mili value : 0.000866959
deriv1 : 0, val : -0.0250751, +1mili value : 0.00041418
deriv1 : 0.00251716, val : -0.0249178, +1mili value : 0.00253175
deriv1 : 0, val : -0.0247605, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : -0.0258606, +1mili value : 6.6827e-006
deriv1 : 0.000208928, val : -0.025847, +1mili value : 0.00020886
deriv1 : 0.000488728, val : -0.0258345, +1mili value : 0.000460056
deriv1 : 0.00167964, val : -0.0258063, +1mili value : 0.00166518
deriv1 : 0.00380757, val : -0.0256246, +1mili value : 0.00413585
deriv1 : 0, val : -0.0250751, +1mili value : 0
deriv1 : 0.00993104, val : -0.000275861, +1mili value : 0.00969413
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : -0.0977783, +1mili value : 0.000163055
deriv1 : 0.00213037, val : -0.0971911, +1mili value : 0.00241027
deriv1 : 0.00504034, val : -0.0969794, +1mili value : 0.00503783
deriv1 : 0, val : -0.0971911, +1mili value : 0.000480874
deriv1 : 0.00504045, val : -0.0969794, +1mili value : 0.00503783
deriv1 : 0.00497273, val : -0.0967711, +1mili value : 0.00497235
deriv1 : 0.00490107, val : -0.096565, +1mili value : 0.00490113
deriv1 : 0.00476165, val : -0.0963627, +1mili value : 0.0047641
deriv1 : 0.00441673, val : -0.0961682, +1mili value : 0.00443595
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.229085, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0.21617, val : 0.0076763, +1mili value : 0.212722
deriv1 : 0.21617, val : 0.0076763, +1mili value : 0.212722
deriv1 : 0, val : 0.0076763, +1mili value : 0
deriv1 : 0.00774425, val : -0.7225, +1mili value : 0.00765205
deriv1 : -0.668462, val : 0.0076763, +1mili value : -0.652491
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 1.91661, val : 0, +1mili value : 1.85565
deriv1 : 0, val : 0.00218008, +1mili value : 0
deriv1 : 0, val : 0.00218008, +1mili value : -0.000115404
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : -0.00916114, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.0349704, +1mili value : 0
deriv1 : 0, val : 0.0349704, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0.593255, val : 0, +1mili value : 0.579081
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.104013, +1mili value : 0
deriv1 : 0, val : 0.15345, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.194152, +1mili value : -5.08125e-006
deriv1 : 0, val : 0.158303, +1mili value : -2.41369e-005
deriv1 : -0.000891851, val : 0.158283, +1mili value : -0.000899654
deriv1 : -0.0012151, val : 0.158191, +1mili value : -0.00121596
deriv1 : 0, val : 0.181742, +1mili value : -0.0741952
deriv1 : 0, val : 0.158303, +1mili value : -2.41369e-005
deriv1 : -0.000891851, val : 0.158283, +1mili value : -0.000899654
deriv1 : -0.0012151, val : 0.158191, +1mili value : -0.00121596
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.162359, +1mili value : 0
deriv1 : -0.196518, val : 0.157581, +1mili value : -0.193383
deriv1 : -0.123273, val : 0.136947, +1mili value : -0.120914
deriv1 : -0.196518, val : 0.157581, +1mili value : -0.193383
deriv1 : -0.123273, val : 0.136947, +1mili value : -0.120914
deriv1 : -0.216673, val : 0.0870175, +1mili value : -0.212528
deriv1 : 0, val : 0.0870175, +1mili value : 0
deriv1 : 0, val : 0.0870175, +1mili value : 0
deriv1 : 0, val : 0.136947, +1mili value : 0
deriv1 : -0.00105493, val : 0.152454, +1mili value : -0.000955221
deriv1 : 0.143246, val : 0.150994, +1mili value : 0.123114
deriv1 : -0.00201947, val : 0.200542, +1mili value : 0.035627
deriv1 : -0.846615, val : 0.167317, +1mili value : -0.819686
deriv1 : -0.0973965, val : 0.136947, +1mili value : -0.0950694
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.119079, +1mili value : 0
deriv1 : 0, val : 0.150213, +1mili value : 0
deriv1 : 0, val : 0.0794421, +1mili value : 0
deriv1 : 0, val : 0.17672, +1mili value : 0
deriv1 : 0, val : 0.0637879, +1mili value : 0
deriv1 : 0, val : 0.149129, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.142902, +1mili value : 0.000140919
deriv1 : 0.000742336, val : 0.143088, +1mili value : 0.000724697
deriv1 : -0.0746939, val : 0.143088, +1mili value : -0.0676526
deriv1 : -0.0560212, val : 0.143088, +1mili value : -0.0533563
deriv1 : -0.05602, val : 0.143088, +1mili value : -0.0533553
deriv1 : -0.05602, val : 0.143088, +1mili value : -0.0533553
deriv1 : -0.0560212, val : 0.143088, +1mili value : -0.0533563
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : -0.0351015
deriv1 : 0, val : 0.121101, +1mili value : 0
deriv1 : 0, val : 0.121101, +1mili value : 0
deriv1 : 0, val : 0.121101, +1mili value : 0
deriv1 : 0, val : 0.121101, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.143088, +1mili value : 0
deriv1 : 0, val : 0.050916, +1mili value : 0
deriv1 : 0, val : 0.050916, +1mili value : 0
deriv1 : -0.207894, val : 0.143088, +1mili value : -0.202927
deriv1 : 0, val : 0.001, +1mili value : 0
deriv1 : 0, val : 0.001, +1mili value : 0
deriv1 : 0, val : 8.30308, +1mili value : 0
deriv1 : 0, val : 8.44872, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : 342, +1mili value : 0
deriv1 : 0, val : 342, +1mili value : 0
deriv1 : 0, val : 342, +1mili value : -1.1625e-005
deriv1 : -75.0399, val : -1.31725, +1mili value : -73.8428
deriv1 : -130.292, val : -19.9531, +1mili value : -127.8
deriv1 : -75.0399, val : 356.214, +1mili value : -73.8429
deriv1 : -7.64816, val : -26.3026, +1mili value : -7.54355
deriv1 : 0, val : -22.2196, +1mili value : 0
deriv1 : 0, val : 16.4577, +1mili value : 0
deriv1 : 0, val : 16.4577, +1mili value : 0
deriv1 : 151.398, val : -22.2196, +1mili value : 147.781
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : 22.2698, +1mili value : 0
deriv1 : 0, val : -32.9884, +1mili value : 0
deriv1 : 0, val : -0.413671, +1mili value : 0
deriv1 : 0, val : -41.3151, +1mili value : 0
deriv1 : 0, val : -90.1557, +1mili value : 0
deriv1 : 0, val : -8.32742, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : 23.2623, +1mili value : 0
deriv1 : 0, val : -17.999, +1mili value : 0
deriv1 : 0, val : -2.77376, +1mili value : 0
deriv1 : 0, val : -86.9481, +1mili value : 0
deriv1 : 0, val : -86.9481, +1mili value : 0
deriv1 : -172.863, val : -17.999, +1mili value : -168.733
deriv1 : 0, val : 0.0440923, +1mili value : 1.03139e-005
deriv1 : 0, val : 0.0445229, +1mili value : -1.03139e-005
deriv1 : 0, val : 0.0501962, +1mili value : 2.21977e-005
deriv1 : 0, val : 0.0405159, +1mili value : -2.19112e-006
deriv1 : -0.00561131, val : 0.0486296, +1mili value : -0.00558699
deriv1 : 0, val : 0.0470361, +1mili value : 2.29119e-005
deriv1 : 0.000139211, val : 0.0470448, +1mili value : 0.00014001
deriv1 : 0, val : 0.0470535, +1mili value : 0
deriv1 : 0, val : 0.0501962, +1mili value : 0
deriv1 : 0, val : 0.0501962, +1mili value : 0
deriv1 : 0, val : 0.0501962, +1mili value : 0
deriv1 : 0, val : 0.0452591, +1mili value : 0
deriv1 : 0, val : 0.0486577, +1mili value : -1.37966e-005
deriv1 : -0.000431304, val : 0.0486296, +1mili value : -0.000431142
deriv1 : -0.00100891, val : 0.0486038, +1mili value : -0.000949654
deriv1 : -0.0078602, val : 0.0481704, +1mili value : -0.00853795
deriv1 : 0.0313999, val : 0.0668903, +1mili value : 0.0311136
deriv1 : 0.027935, val : 0.0593795, +1mili value : 0.0291594
deriv1 : 0, val : 0.0982319, +1mili value : -0.0273595
deriv1 : 0.027935, val : 0.0593795, +1mili value : 0.0291594
deriv1 : 0, val : 0.0501962, +1mili value : 0
deriv1 : 0, val : 0.0501962, +1mili value : 0
deriv1 : -0.0522029, val : 0.0418831, +1mili value : -0.0497197
deriv1 : 0, val : 0.0474526, +1mili value : 0
deriv1 : -0.0997571, val : 0.051223, +1mili value : -0.0981658
deriv1 : 0.0072596, val : 0.0475984, +1mili value : 0.00712073
deriv1 : -0.0997571, val : 0.051223, +1mili value : -0.0981658
deriv1 : 0.0072596, val : 0.0475984, +1mili value : 0.00712073
deriv1 : 0.219314, val : 0.0631599, +1mili value : 0.215118
deriv1 : 0, val : 0.0475984, +1mili value : 0
deriv1 : -0.00262751, val : 0.0699084, +1mili value : -0.00260231
deriv1 : 0, val : 0.0697474, +1mili value : 0
deriv1 : 0, val : 0.0697474, +1mili value : 0
deriv1 : 0, val : 0.0697474, +1mili value : 0
deriv1 : 0, val : -0.00445392, +1mili value : 0
deriv1 : 0.0513817, val : 0.0872094, +1mili value : 0.0441606
deriv1 : 0.0513817, val : 0.0872094, +1mili value : 0.0510028
deriv1 : -0.0014564, val : 0.063809, +1mili value : -0.001439
deriv1 : 0, val : 0.0475984, +1mili value : 0.00144809
